ID_FICHE,CAT_BISSON,TYPE_CAT_BISSON,ADRESSE,TYPE_VOIE,NOM_VOIE,NOM_INDICATIF,STATUT_INV_PRE_40_2025,DEMOLI,LIEN_FTP,LNG,LAT
1_120,1,Bâtiment remarquable,5450-5450 avenue Durocher,avenue,Durocher,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5450_avenue_durocher_CAT_1.pdf,-73.6025497,45.5202031
1_121,1,Bâtiment remarquable,5458-5458 avenue Durocher,avenue,Durocher,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5458_avenue_durocher_CAT_1.pdf,-73.6026267,45.520229
1_122,1,Bâtiment remarquable,5743-5743 avenue Durocher,avenue,Durocher,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5743_avenue_durocher_CAT_1.pdf,-73.6055761,45.5219759
1_123,1,Bâtiment remarquable,5751-5751 avenue Durocher,avenue,Durocher,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5751_avenue_durocher_CAT_1.pdf,-73.6056621,45.5220147
1_124,1,Bâtiment remarquable,5759-5759 avenue Durocher,avenue,Durocher,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5759_avenue_durocher_CAT_1.pdf,-73.6057433,45.5220503
1_125,1,Bâtiment remarquable,5767-5767 avenue Durocher,avenue,Durocher,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5767_avenue_durocher_CAT_1.pdf,-73.6058194,45.5220874
1_126,1,Bâtiment remarquable,5773-5773 avenue Durocher,avenue,Durocher,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5773_75_avenue_durocher_CAT_1.pdf,-73.605903,45.5221246
1_127,1,Bâtiment remarquable,5777-5779 avenue Durocher,avenue,Durocher,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/5777_79_avenue_durocher_CAT_1.pdf,-73.6059905,45.522165
1_128,1,Bâtiment remarquable,6051-6055 avenue Durocher,avenue,Durocher,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/6051_55_avenue_durocher_CAT_1.pdf,-73.6090777,45.5235567
1_129,1,Bâtiment remarquable,40-40 avenue Duverger,avenue,Duverger,ancienne église Sainte-Madeleine,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/40_60_avenue_duverger_CAT_1.pdf,-73.6133630067659,45.52034895
1_131,1,Bâtiment remarquable,22-22 avenue Elmwood,avenue,Elmwood,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/22_avenue_elmwood_CAT_1.pdf,-73.6025168,45.5185741
1_132,1,Bâtiment remarquable,24-24 avenue Elmwood,avenue,Elmwood,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/24_avenue_elmwood_CAT_1.pdf,-73.6025693,45.5185179
1_133,1,Bâtiment remarquable,26-26 avenue Elmwood,avenue,Elmwood,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/26_avenue_elmwood_CAT_1.pdf,-73.6026218,45.5184657
1_134,1,Bâtiment remarquable,28-28 avenue Elmwood,avenue,Elmwood,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/28_avenue_elmwood_CAT_1.pdf,-73.6026684,45.5184029
1_135,1,Bâtiment remarquable,30-30 avenue Elmwood,avenue,Elmwood,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/30_avenue_elmwood_CAT_1.pdf,-73.602717,45.5183467
1_136,1,Bâtiment remarquable,32-32 avenue Elmwood,avenue,Elmwood,,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/32_avenue_elmwood_CAT_1.pdf,-73.6027796,45.5182909
1_151,1,Bâtiment remarquable,1125-1125 avenue Fairmount,avenue,Fairmount,académie Notre-Dame-de-Bon-Secours,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/1125_avenue_fairmount_CAT_1.pdf,-73.5999582,45.5180811
1_153,1,Bâtiment remarquable,6-6 avenue Glencoe,avenue,Glencoe,maison Maurice-Jarry,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/6_avenue_glencoe_CAT_1.pdf,-73.6154988638101,45.51091575
1_154,1,Bâtiment remarquable,8-8 avenue Glencoe,avenue,Glencoe,maison Marc-Jarry,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/8_avenue_glencoe_CAT_1.pdf,-73.6153770460376,45.5108552891175
1_155,1,Bâtiment remarquable,26-26 avenue Glencoe,avenue,Glencoe,maison E.-H.-Merrill,Retenu Inventaire pre 1940,Non,https://depot.ville.montreal.qc.ca/patrimoine/bisson/Fiches_CAT_1/26_avenue_glencoe_CAT_1.pdf,-73.6148858528396,45.5106705
